date,length,pos,neg
2018-05-06,507,0.1520157790927021,0.07111834319526626
2018-05-07,514,0.15017509727626463,0.05536381322957199
2018-05-08,506,0.14727865612648228,0.05986363636363632
2018-05-09,504,0.1375912698412698,0.04483333333333333
2018-05-10,513,0.1448265107212477,0.05364132553606239
2018-05-11,500,0.11457000000000002,0.06057399999999998
2018-05-12,512,0.12410937500000005,0.058304687499999994
2018-05-13,500,0.15896000000000002,0.04794000000000001
2018-05-14,510,0.1462843137254902,0.05071372549019607
2018-05-15,504,0.13930357142857144,0.035150793650793655
2018-05-16,500,0.14695399999999997,0.03941399999999998
2018-05-17,516,0.1615600775193798,0.05140891472868214
2018-05-18,504,0.14624603174603176,0.05944841269841269
2018-05-19,500,0.16615399999999994,0.049074000000000007
2018-05-20,514,0.1615097276264592,0.059340466926070055
2018-05-21,500,0.14004999999999998,0.04266599999999999
2018-05-22,517,0.15925918762088975,0.06179883945841391
2018-05-23,508,0.160775590551181,0.04563779527559054
2018-05-24,518,0.15347297297297302,0.08502509652509652
2018-05-25,518,0.1485212355212355,0.06659073359073357
2018-05-26,512,0.147408203125,0.06199804687499999
2018-05-27,505,0.14107524752475248,0.07541782178217821
2018-05-28,512,0.10769921875,0.04658593749999998
2018-05-29,502,0.1395876494023905,0.05982868525896414
2018-05-30,508,0.15689960629921265,0.044496062992125954
2018-05-31,512,0.14858789062500008,0.041431640625
2018-06-01,508,0.15862598425196855,0.04014566929133858
2018-06-02,513,0.1639200779727095,0.0430233918128655
2018-06-03,510,0.15950000000000014,0.04293529411764707
2018-06-04,519,0.1739614643545281,0.03625626204238919
2018-06-05,511,0.1557847358121332,0.06292172211350293
2018-06-06,515,0.15142330097087375,0.04466407766990293
2018-06-07,519,0.15221965317919067,0.04578034682080925
2018-06-08,514,0.13801556420233474,0.04787354085603114
2018-06-09,512,0.15096679687500003,0.030576171875
2018-06-10,501,0.1328303393213573,0.05150499001996008
2018-06-11,503,0.10698409542743544,0.06759045725646125
2018-06-12,507,0.14073175542406308,0.053349112426035496
2018-06-13,501,0.15401796407185617,0.046962075848303406
2018-06-14,512,0.15095898437500008,0.06472851562499998
2018-06-15,505,0.13610693069306942,0.07657425742574261
2018-06-16,507,0.12583431952662721,0.047473372781065115
2018-06-17,514,0.1709085603112841,0.057805447470817124
2018-06-18,500,0.11733000000000003,0.06837600000000003
2018-06-19,514,0.13593968871595322,0.050994163424124515
2018-06-20,501,0.1341057884231537,0.059638722554890194
2018-06-21,501,0.11543313373253493,0.04310379241516965
2018-06-22,503,0.14680119284294238,0.05297813121272368
2018-06-23,500,0.13658000000000006,0.05563800000000001
2018-06-24,515,0.16202718446601944,0.07618640776699027
